 time        v(VIN1)     time        v(VOUT1)   
 3.6505e-07  6.0000e-01  3.6505e-07  1.2000e+00 
 3.6605e-07  6.0000e-01  3.6605e-07  1.2000e+00 
 3.6705e-07  6.0000e-01  3.6705e-07  1.2000e+00 
 3.6805e-07  6.0000e-01  3.6805e-07  1.2000e+00 
 3.6905e-07  6.0000e-01  3.6905e-07  1.2000e+00 
 3.7005e-07  6.0000e-01  3.7005e-07  1.2000e+00 
 3.7105e-07  6.0000e-01  3.7105e-07  1.2000e+00 
 3.7205e-07  6.0000e-01  3.7205e-07  1.2000e+00 
 3.7305e-07  6.0000e-01  3.7305e-07  1.2000e+00 
 3.7405e-07  6.0000e-01  3.7405e-07  1.2000e+00 
 3.7505e-07  6.0000e-01  3.7505e-07  1.2000e+00 
 3.7605e-07  6.0000e-01  3.7605e-07  1.2000e+00 
 3.7705e-07  6.0000e-01  3.7705e-07  1.2000e+00 
 3.7805e-07  6.0000e-01  3.7805e-07  1.2000e+00 
 3.7905e-07  6.0000e-01  3.7905e-07  1.2000e+00 
 3.8005e-07  6.0000e-01  3.8005e-07  1.2000e+00 
 3.8105e-07  6.0000e-01  3.8105e-07  1.2000e+00 
 3.8205e-07  6.0000e-01  3.8205e-07  1.2000e+00 
 3.8305e-07  6.0000e-01  3.8305e-07  1.2000e+00 
 3.8405e-07  6.0000e-01  3.8405e-07  1.2000e+00 
 3.8505e-07  6.0000e-01  3.8505e-07  1.2000e+00 
 3.8605e-07  6.0000e-01  3.8605e-07  1.2000e+00 
