 time        v(VOUT1)   
 6.6050e-08  3.3951e-03 
 6.6150e-08  3.3951e-03 
 6.6250e-08  3.3951e-03 
 6.6350e-08  3.3951e-03 
 6.6450e-08  3.3951e-03 
 6.6550e-08  3.3951e-03 
 6.6650e-08  3.3951e-03 
 6.6750e-08  3.3951e-03 
 6.6850e-08  3.3951e-03 
 6.6950e-08  3.3951e-03 
 6.7050e-08  3.3951e-03 
 6.7150e-08  3.3951e-03 
 6.7250e-08  3.3951e-03 
 6.7350e-08  3.3951e-03 
 6.7450e-08  3.3951e-03 
 6.7550e-08  3.3951e-03 
 6.7650e-08  3.3951e-03 
 6.7750e-08  3.3951e-03 
 6.7850e-08  3.3951e-03 
 6.7950e-08  3.3951e-03 
 6.8050e-08  3.3951e-03 
 6.8150e-08  3.3951e-03 
 6.8250e-08  3.3951e-03 
 6.8350e-08  3.3951e-03 
 6.8450e-08  3.3951e-03 
 6.8550e-08  3.3951e-03 
 6.8650e-08  3.3951e-03 
 6.8750e-08  3.3951e-03 
 6.8850e-08  3.3951e-03 
 6.8950e-08  3.3951e-03 
 6.9050e-08  3.3951e-03 
 6.9150e-08  3.3951e-03 
 6.9250e-08  3.3951e-03 
 6.9350e-08  3.3951e-03 
 6.9450e-08  3.3951e-03 
 6.9550e-08  3.3951e-03 
 6.9650e-08  3.3951e-03 
 6.9750e-08  3.3951e-03 
 6.9850e-08  3.3951e-03 
 6.9950e-08  3.3951e-03 
 7.0050e-08  3.3951e-03 
 7.0150e-08  3.3951e-03 
 7.0250e-08  3.3951e-03 
 7.0350e-08  3.3951e-03 
 7.0450e-08  3.3951e-03 
 7.0550e-08  3.3951e-03 
 7.0650e-08  3.3951e-03 
 7.0750e-08  3.3951e-03 
 7.0850e-08  3.3951e-03 
 7.0950e-08  3.3951e-03 
 7.1050e-08  3.3951e-03 
 7.1150e-08  3.3951e-03 
 7.1250e-08  3.3951e-03 
 7.1350e-08  3.3951e-03 
 7.1450e-08  3.3951e-03 
 7.1550e-08  3.3951e-03 
 7.1650e-08  3.3951e-03 
 7.1750e-08  3.3951e-03 
 7.1850e-08  3.3951e-03 
 7.1950e-08  3.3951e-03 
 7.2050e-08  3.3951e-03 
 7.2150e-08  3.3951e-03 
 7.2250e-08  3.3951e-03 
 7.2350e-08  3.3951e-03 
 7.2450e-08  3.3951e-03 
 7.2550e-08  3.3951e-03 
 7.2650e-08  3.3951e-03 
 7.2750e-08  3.3951e-03 
 7.2850e-08  3.3951e-03 
 7.2950e-08  3.3951e-03 
 7.3050e-08  3.3951e-03 
 7.3150e-08  3.3951e-03 
 7.3250e-08  3.3951e-03 
 7.3350e-08  3.3951e-03 
 7.3450e-08  3.3951e-03 
 7.3550e-08  3.3951e-03 
 7.3650e-08  3.3951e-03 
 7.3750e-08  3.3951e-03 
 7.3850e-08  3.3951e-03 
 7.3950e-08  3.3951e-03 
 7.4050e-08  3.3951e-03 
 7.4150e-08  3.3951e-03 
 7.4250e-08  3.3951e-03 
 7.4350e-08  3.3951e-03 
 7.4450e-08  3.3951e-03 
 7.4550e-08  3.3951e-03 
 7.4650e-08  3.3951e-03 
 7.4750e-08  3.3951e-03 
 7.4850e-08  3.3951e-03 
 7.4950e-08  3.3951e-03 
 7.5050e-08  3.3951e-03 
 7.5150e-08  3.3951e-03 
 7.5250e-08  3.3951e-03 
 7.5350e-08  3.3951e-03 
 7.5450e-08  3.3951e-03 
 7.5550e-08  3.3951e-03 
 7.5650e-08  3.3951e-03 
 7.5750e-08  3.3951e-03 
 7.5850e-08  3.3951e-03 
 7.5950e-08  3.3951e-03 
 7.6050e-08  3.3951e-03 
